Type,Content
Header,Web Scraping Practice
Header,Available Products
Header,Product Table
Header,Watch This Video
Header,Contact Us
Header,Product Information
Header,Featured Products
paragraph,Welcome to the web scraping task! Use your skills to extract the required data from this page.
paragraph,Sharp Objects
paragraph,£47.82
paragraph,✔ In stock
paragraph,"In a Dark, Dark Wood"
paragraph,£19.63
paragraph,✔ In stock
paragraph,The Past Never Ends
paragraph,£56.50
paragraph,The Past Never Ends
paragraph,✔ In stock
paragraph,The Past Never Ends
paragraph,A Murder in Time
paragraph,£16.64
paragraph,Out stock
paragraph,Wireless Headphones
paragraph,$49.99
paragraph,"Available colors: Black, White, Blue"
paragraph,Out stock
paragraph,Smart Speaker
paragraph,$149.99
paragraph,"Available colors: Black, Silver, Gold"
paragraph,Smart Watch
paragraph,$149.99
paragraph,"Available colors: Black, Silver, Gold"
List,Laptop
List,Smartphone
List,Tablet
List,Smartwatch
